A,B,C,D,E,F,G,H,I,J
东粤生态园 长兴创意园 无中间商赚差价 拎包入住 整租,1598,豪泉商务大厦,整租,朝南,有电梯,2/14号线/3号线(北延段),2室1厅66平米,白云嘉禾望岗 望岗塘田街自编126-128号,https://gz.zu.anjuke.com/fangyuan/3069589047925769?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPjEzPHD1Pj9LrHDkPHnKTHnkPWbdrjbkPj0OnWNLPWbKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDQnk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjcLn103rH9knHTznHc1PHckTHmKTHDKmHFhujcvmynVPj7hniYYrHR6sH-hnH0VPAmvPWnYnjIBP1uhTHD3nW01P19OrjDzPHbLPHNdnWTKnH9zP1nLrjb3nHcvn1bOnj03PTDKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKryF6mhnznHnVmvP-riYYPWnOsHbkujNVPHIbnW7Wuy7-m1c3TEDYTEDKnTD1sjDvPHb_nHczrHTKnE78IyQ_THmQnAFhPj-bPvPbPvc1nvN&lego_tid=9babc213-cce9-4639-90d5-57d21ceaec28&psid=6fd4e1a5192a4d36b65a104de2c3b702
体育中心地铁口  都市华庭大面积 高层景观开阔 适合工作室,16500,都市华庭(天河),整租,朝北,有电梯,1/3号线/3号线(北延段)/APM线,6室3厅316.5平米,天河天河北 天河北路358-378号,https://gz.zu.anjuke.com/fangyuan/3680983482246145?isauction=2&shangquan_id=2691&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKrHDOn19drHmYPjc1rjbKTHnvrjTOrjnYrjczPjmQPjNKnWDznjTKnWDznjTKnikQnTD1THDLnWELPW0YnWcLPjnKnHEKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjnvPjTkPWmYnHbYnWNzrTDvTEDQTHwWn1wWn1-hsynOmHnVPA7WmzYOPWw-sHNvPj7WPHPWPW9dn9DQrjc3n1mYnjT3nHb3njcdnWDLTHD3nW91PWEknj9QP1c3P1DvrjTKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTynLPWbzPvuWsHbkPW9VPjbkPaYOn1NLsymzP1TzPH6huyuWrEDKPTDKTHTKnzkQPWNYsjcvrHDKnE78IyQ_TH9QuhnYuWDQrHKWnHE3nhm&lego_tid=c76927fc-9068-4904-9357-f270258fefc9&psid=6fd4e1a5192a4d36b65a104de2c3b702
东圃次新楼 东尚明苑 精装两房 拎包入住 随时可看 可谈价,4500,东尚明苑,整租,朝南,有电梯,4/21号线,2室2厅72.7平米,天河东圃 旭景西街202号,https://gz.zu.anjuke.com/fangyuan/3607714119853068?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPjDdnjEvrjD1P10zrHNKTHnvnj0LnHEQnHb3PHnkPW9KnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPW0YnWcLPjnKnHNKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9kPWm3nWcLnj0YrHcQnWmLPEDvTEDQTHTQPWc1rHR6symzPynVPj9znBY3uhnzsHPBuhDYmH6-uyNQuEDQrjTvPW9znW0krjnLnW93rHmkTHD3njmvrjczP1T3nHm1nWbLnW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyR-nhRWPWDdsHEduWNVPAwbuBd6PhD3sHI-ryFbPvcQPhczmkDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_THDvPWnQrjN3nH0vuWKBn10&lego_tid=ee2ec615-45f5-4ddf-a6a8-7e9bd7b16b2c&psid=6fd4e1a5192a4d36b65a104de2c3b702
金地天河峯睿 精装修四房 新风系统 中央空调 高层望花园,7200,金地天河峯睿,整租,朝南,有电梯,21号线,4室2厅115.3平米,天河棠东 健明五路,https://gz.zu.anjuke.com/fangyuan/3661544167283718?isauction=2&shangquan_id=16018&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKrjmQPjN1P1Dkrj9OPjnKTHnvPWDdPjEQPW0zrjnLnH9KnHD1rHbKrHDknTDQsjDkTHnKnH0zPj0vP1EznW0YnkDQP97AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjc3n1D3rjmYP1DOPHcLrHnvTHmKTHDKm1I6uWu6m1nVPWwWmiYYnAcYsyc1mvEVrH6WP1NkrH0vmhubTHD3nW91nH93PWmznWbYrHnLPWDKnH9zrjnQrj9vPWcdnjE3rH9dP9DKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKnh7brAwWujDVPWPBuBYYPjDzsy7-nyDVmH-hrAEknWnkPj9QTEDYTEDKnTD1sjDvPHE_nHmknH9KnE78IyQ_TymdryDYn1DdPWuWujTOuAD&lego_tid=2ad8dcd1-63bf-4412-ae1a-a9f8d0230481&psid=6fd4e1a5192a4d36b65a104de2c3b702
珠村牌坊 电梯高层单间 全视野 一览众山小！鸿德广场羽泰广场,980,珠村南门社新街四巷-十五巷自建房,整租,朝南,有电梯,,1室0厅45平米,天河东圃 珠村南门社新街八巷10号,https://gz.zu.anjuke.com/fangyuan/3623005747667979?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPHmdPj0dPHDLn1N1nWDKTHnvnWnknjNLPj0vPW0OP1bKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPW0YnWcLPjnKnH0KwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjEzrj9dn1nkn19OPjTQPkDvTEDQTHmzPHP-mHFWsyPWmyNVPjbOmzdBuWTksyFbuWn3PW66uWn3nEDQrjc3Pjc3rjNYPWNYPjNQP1D1THD3nW9YnW93PHEvnWT3rHnQrjEKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTynQPWRhm1KbsHmduycVPjTkPaYOmhcLsHbvPWNQnjKhPWT1PEDKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_THELPANQnjRWnhF-mWbOryN&lego_tid=c165fc0d-65eb-4004-9bb7-9665100f6035&psid=6fd4e1a5192a4d36b65a104de2c3b702
4号线急租车陂地铁万胜围琶洲联合社区珠江新城拎包入住,1800,车陂龙口大街自建房,整租,朝西,有电梯,4/5/21号线,1室1厅40平米,天河车陂 车陂龙口大街8号,https://gz.zu.anjuke.com/fangyuan/3627126830997515?isauction=2&shangquan_id=5910&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTYP1EYPWbvnHN3njDOTED1PWcLnHcvrjnkrHbLPHDdTHDQPHTkTHDQPHTkTHD_nHTKnkDQP1cYP1mLPjczP1EYTHD3TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zrHm3P1TYPj03PWDLPWTKP9DKnE76uHwWm1KWradhPH9zsHEznADVrj-6Pzdhn1NkmhRhnWcYuW0KnH9zrjcOPW9LnjNzn1ndnHTYnTDQrjc3nWbvrj0kPHTvPH0LrHckTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDkuH9dnAnQmiY1nvR-sHwWuAEVrjc3nzYdPhDQPyRBn1IBuH9KTHEKTEDkTHn_nHmdPakdrHDkTHDKUMR_UTDOuyczryNQP1DYP1nYuHRb&lego_tid=0e850c1a-33ee-4cdd-8283-56a15eb37be8&psid=6fd4e1a5192a4d36b65a104de2c3b702
近3号线永泰地铁站，采光充足超大单间家私家电齐全周边商圈繁华,1560,元下田村,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 元下田三路,https://gz.zu.anjuke.com/fangyuan/3672996048495625?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTknWmQPWckrHbkP19LTED1PW0zrHbvnjE3PjbdPWcdTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjEKnHbKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHEQPHm3nHbOPj0dn9DvTEDQTH9Yrju-mWEYsHI-rHnVPjnzriYOuhczsHRWPhczP16WmvEkPEDQrjc3nW9dPjDdP1mQPWbkPWcYTHD3nW9zrjNYnHNLPjTLnHbQnjEKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHKBmhDYPyu-sHw-PvnVPADLnad6PhDOsHbkn191rjwWryc1rTDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THTvmHnOujNLuWE3mH6-nyc&lego_tid=0bba45fe-4e7c-4a70-a6a9-9038384c9b38&psid=6fd4e1a5192a4d36b65a104de2c3b702
天河万科云城附近，全新出租，民用水电，楼下吃喝，拎包即可入住,1480,凌塘村,整租,南北,有电梯,21号线,1室1厅35平米,天河天河智慧城 上街北路46号,https://gz.zu.anjuke.com/fangyuan/3122320147440649?isauction=2&shangquan_id=37374&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKrHD1PjTzrj9vn1NOn1cKTHnQnWc1nWTQPj0YPjTvPjbKnHndPWbKnHTOnjTKnikQnTD1THDLnWELPW0YnWcLPjEKnWTKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjn3njTkPHm1PjDOPHEdP9DvTEDQTHFbrj9YPWKBsyE3rjmVPjKhmBdBn1-bsHnYmWK-njI-nyEQnEDQrjc3n19knjTdP1cznW0QP1EYTHD3nW91rjTknjNLnjD1nj9YnHmKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyPBnyn3PWTdsyFbnANVPAPhnzYOnjnOsHRWuWD1rHwhuW0QmkDKPTDKTHTKnzkQPWNYsjnLn10YTHDKUMR_UTDOrHNOmHPBmvw6nH7WrHEv&lego_tid=cb1c8605-bd0e-4cf3-9039-5cf1394ff71c&psid=6fd4e1a5192a4d36b65a104de2c3b702
六号线租房 近地铁 采光好 民水民电 朝南无遮挡 配套齐全,800,柯木塱黄屋一街-二街小区,整租,朝南,6号线,,1室0厅35平米,"天河柯木塱 黄屋一街10-1号,二街18号之二",https://gz.zu.anjuke.com/fangyuan/3682231657438215?isauction=2&shangquan_id=12993&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKrHN3njbzPH0dP1T3P10KTHnvrjczn1DvPH0Yn19znHNKrHbknTDLrHTkTHD_nHTKnkDQP1cYP1mLPjczP1EYTHcQTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW91nWbOPHcLPjn3n10vrHmKP9DKnEDvmhNYrjnvuBd6PvwhsHE3m1mVrjnOuad6nAnzuhR6nWNOPjTKnH9zrjnzrHbdPjnQPWmOP1mknTDQrjc3n1cOrHNYnWmvn19zn1nvTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT76mymzuj9dmBY3nAcvsHEznjEVrjEOPidWPWNzm10OrjDdrH0KTHEKTEDkTHn_nHmdPakQnWbOnkDQTyOdUAkKnyF-PyDLnWN3rH9YPj7hP9&lego_tid=aaf2d85b-80b6-4204-8495-c652c7981597&psid=6fd4e1a5192a4d36b65a104de2c3b702
永泰白云大道北双地铁站，民水民电领包入住商圈配套齐全南北通透,1480,福泰轩,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 福泰东路1-1号,https://gz.zu.anjuke.com/fangyuan/3675199708356612?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTknWmQPWckrHbkP19LTED1PW0dnHbOP1T3n1NvPWDzTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjEKnWcKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjc3PHcvPj0LPHDLPWDOn9DvTEDQTH9zrHDYmvPbsHEdmHmVPjb3mzdBmy7hsH01uAEknWFhPjNzmkDQrjc3nW9dnWmYrjNOnjcOPHTYTHD3nW9zrjNzPWE3n1n3rHmYPj9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHmznj93mycksH--uymVPjEYPid6m1T3sH0QPHK6uANdm1mLuEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_TH6BuAcYujT1P19OnAw6rjN&lego_tid=62088ab0-9eef-4445-ac08-7150ade5c67e&psid=6fd4e1a5192a4d36b65a104de2c3b702
永泰地铁站200M，不走巷子大马路房采光充足，原木风超大单间,1550,元下田小区,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 元下田325号,https://gz.zu.anjuke.com/fangyuan/3672957501692940?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTknWmQPWckrHbkP19LTED1PW0zrHNLPHTQPWbzrHEkTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjEKnWnKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjnLnjmOPHc1rH9zP1EdP9DvTEDQTHN1n19vnWu-sHmzrAEVPjN1nBd6uHu-syEQPyE1rAnzuHF-PEDQrjc3n10kPWbdn1mdPWEknHbzTHD3nW91P1TvrHN1Pj93PW0kP1cKTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTymLnWnYnjTksHwhuANVPA76PiY3PhubsyEOnWNvrjbvrHT3uEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_TH7-nHTdujndrAc1PhDQmW0&lego_tid=f7234000-4fde-4aa5-86fd-d9256896908e&psid=6fd4e1a5192a4d36b65a104de2c3b702
三号线地铁100米 精装电梯一房一厅大阳台 商圈繁华0中芥,1480,上胜创意园,整租,南北,有电梯,2/14号线/3号线(北延段),1室1厅50平米,白云嘉禾望岗 上胜东街88号,https://gz.zu.anjuke.com/fangyuan/3681064947866636?isauction=2&shangquan_id=12290&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKP1TOnjcYPjN3P10LPWEKTHnvrjDkPWEOPj03PWmvn1mKnHDQnjTKrjbknTDQsjDkTHnKnH0zPj0vP1EznW0YPTDzPT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQrjcLrH01nWDdrHDYn1mkrjndTHmKTHDKmWE3nyEQuhcVPjcdPaYYrADQsHbknhEVujKbm1NQuHuhPy76THD3nW0OP1nznHNOrH9zPjmOnHcKnH9zP1bLn1cQPWDLPjnOPHnOP9DKnikQnTDKTEDVTEDKTED3sWD1Pa3OPi3znWmKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKnWNzmyFBrHDVnAcvraYYmWEzsHbknhNVnAwhmhF-PhP6mhNYTEDYTEDKnTD1sjDvPHb_nHczrHTKnE78IyQ_THbkPWn3uWn3PHELuWcLnWD&lego_tid=252abb91-0b68-4b42-902e-0dfbbe6cabe4&psid=6fd4e1a5192a4d36b65a104de2c3b702
双地铁可直达珠江新城体育西路，家私家电，不走巷子，民水民电,1460,永康路磨刀南街小区,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 磨刀南街89,https://gz.zu.anjuke.com/fangyuan/3593674890978312?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHT1nWDYPHn3n1DLnHcYTED1PHb1PW0YrjbkrH03n1DzTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjEKnWNKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjDzP1D1njTznWmYnHmvPEDvTEDQTH9LmHcdrAP-sH0YPW9VPjTknBY3uWnYsHDdnHRbPWmYnv76rTDQrjc3nHcLnHnknHDkP1D1rjNvTHD3nW9QnW0Qn1TkP10QPHN1nW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHbQnvNYuHndsyDkn10VPAnYuad6PvNYsH6bm1Ihm1NkPhPhPEDKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_THbkm19YuhcznWm3rARBmWD&lego_tid=913e4e35-a037-4c4d-a7e4-8dc7fc506cf5&psid=6fd4e1a5192a4d36b65a104de2c3b702
兰亭盛荟  精装修全屋定制 爱马仕橙 真皮沙发 横厅大开间,6800,兰亭盛荟,整租,朝南,有电梯,5号线,3室2厅105平米,天河东圃 东圃明镜路,https://gz.zu.anjuke.com/fangyuan/3675560842518542?isauction=2&shangquan_id=2695&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPHnOPW0OPW0LnjbOP10KTHnvP1NdPWT3PjcdnH9dPjcKnHDOnjTKnHDOnjTKnikQnTD1THDLnWELPW0YnWcLPjEKnWmKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zP1mYn1N1njcOrj9LPHbkPTDvTEDQTHm1nHDOmWcOsycdnhnVPj91midBuyFhsyFWmvEOmvN1uWPbmkDQrjcLPWE1PHnQPWDdrjN3PW9OTHD3nW0vPjndn1DdrHE3rj0QPW9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyDznhm3PH6WsHwBmynVPAPbuBY3nHN1sHN3nvEYujTQPWDzm9DKPTDKTHTKnzkQPWNYsjcvrHNKnE78IyQ_TyNdm1P6ujK6uy76mvN3uW9&lego_tid=a22f858c-4bac-4cdf-8153-583d4d01612b&psid=6fd4e1a5192a4d36b65a104de2c3b702
双地铁可直达珠江新城体育西路，民水民电，不走巷子，家私家电,1480,元下田小区,整租,朝南,有电梯,3号线(北延段),1室1厅40平米,白云永泰 元下田325号,https://gz.zu.anjuke.com/fangyuan/3593652018617345?isauction=2&shangquan_id=6742&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHT1nWDYPHn3n1DLnHcYTED1PHb1PWNznjD3PWDLn1EdTHDQnWb3THbknjTKnikQnTD1THDLnWELPW0YnWcLPjEKnW0KwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnH9zrjDzP1cYnjELnHcYnj0kPEDvTEDQTyN3mW6-P16-sHRWmvNVPjR-Pzd6P17WsHndmyNQPWF-ryEYP9DQrjc3nHcLnWEkPHcOrHmdnjNvTHD3nW9QnW0zPjTdnHnQP1bvPj9KTHD_nHTKTEDKsEDKTEDKra3Qn1E8rHN8nWcvTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyEzuhn3m1R6sHELrynVPAwBuiYOrHN3sHTLPhDznhuBPvm3P9DKPTDKTHTKnzkQPWNOsjmLPjcKnE78IyQ_TymYujbYnj7buHnknW-6Pj9&lego_tid=d2fc8c5a-479c-4dbe-9958-076a22fb7f86&psid=6fd4e1a5192a4d36b65a104de2c3b702
近网易，送免租7天！押一付一！民用水电！小区环境！近地铁！,1900,趣炫科创园,整租,朝南,有电梯,6号线,1室1厅50平米,天河天河智慧城 思成路60号,https://gz.zu.anjuke.com/fangyuan/3687094837321732?isauction=2&shangquan_id=37374&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKnHTznWNkPHnLn1mznWEYTED1PW9LnjbYrjnLn1cQP1nzTHD1PHmOTHDkrHTkTHD_nHTKnkDQP1cYP1mLPjczP1EYTHc3TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zP1Tzn1NkrHbQnWnLnHcKP9DKnEDvrH0OrANvrad6PvwhsHw-nWNVmWI-mBdhPvFhPjuBuyP-rAmKnH9zrjcLnjc1PHDOnHEQnjm3rEDQrjc3nW0knWndnHmznjnknj9kTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT7bPWIWPAwhPidbPAc3sHw-nWEVrHmduiYYPvELPHDzPjNQrjnKTHEKTEDkTHn_nHmdPak1P1nLPTDQTyOdUAkKrHTOP1T1nWF6PyE1rAEvm9&lego_tid=d67c4df5-d4b8-4e24-965e-47d751245183&psid=6fd4e1a5192a4d36b65a104de2c3b702
六号线柯木塱 精装阳台单间  空气清新 拎包入住,890,柯木塱背坪老屋街自建房,整租,南北,6号线,,1室0厅30平米,天河柯木塱 柯木塱背坪老屋街19号,https://gz.zu.anjuke.com/fangyuan/3679554049090573?isauction=2&shangquan_id=12993&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPWczrjnYrj9LPjcvP1cKTHnvP1bdPHEkPjbkrHTdP1nKrHbknTDLrHTkTHD_nHTKnkDQP1cYP1mLPjczP1EYTHcOTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zrHckP1DOPWmOPH0dPWbKP9DKnEDznA7BPjNznaYLPvEdsHEOnyEVmhRhmzYYrHPWnHEQnHDLPAnKnH9zrjcOnWTLnWTdnj9Yn1mdnTDQrjc3nWbznj0znjcdPWmdPHnvTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDkn1bzmyR6riYzuAPhsHE3m1mVmHubmzY3nW9QrjckuH93m1TKTHEKTEDkTHn_nHmdPakQnWbOnkDQTyOdUAkKnjwhuWc1m1NYnjDOuH76rT&lego_tid=0392aea9-2dcf-48c6-a6dc-8281820e88c0&psid=6fd4e1a5192a4d36b65a104de2c3b702
6 号线高塘石近地铁 精装大单间 空气清新 拎包入住,890,柯木塱塘石西一街小区,整租,南北,6号线,,1室0厅28平米,天河柯木塱 塘石西一街15-7号,https://gz.zu.anjuke.com/fangyuan/3685332807704589?isauction=2&shangquan_id=12993&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3rARhmyn3miYLuh7WsHwbnvmVrH93uBYOnyPhPWubPjDYmyNKPWczrjnYrj9LPjcvP1cKTHnvrjN1n1c3nj0LnjEdrjbKrHbknTDLrHTkTHD_nHTKnkDQP1cYP1mLPjczP1EYTHnkTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD3nW9zrHD3rjNvPWE1PWcYrH0KP9DKnE7bP1PhrywhuBYYuj7hsHw6n10VmH6Bnad6mvNYnyc1rjmOmyDKnH9zrjcOnH93PH0dnWEdnHTLPTDQrjc3nWbQrj9dP1mOnWNzrjmdTEDQsjDkTEDKTiYKTEDKTH98nHnYsWbdsWczP9DkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDkrjK6mH7WPad-uH9dsHE3mHmVmhEOmzd-PHIhmWmLuHmkmH0KTHEKTEDkTHn_nHmdPakQnWbOnkDQTyOdUAkKnhD3myDOnyw-rH-BuWFhmk&lego_tid=080aa1c4-ee85-48a6-bd9c-e57fb67e60a7&psid=6fd4e1a5192a4d36b65a104de2c3b702
